Author,Names,Jobs,Num_Trials,Model,Temperature,Metric,Sensitive_Attribute_Vector,Result_Vector,Std_Error_Vector,P_Value_Vector
armstrong,armstrong,armstrong,1,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.8999999999999782],[0.6402654240497773],[0.15982302021886385]
armstrong,armstrong,armstrong,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.0026054884444895454],,[0.15982302021886385]
armstrong,armstrong,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.1097560975609757],,[0.15982302021886385]
armstrong,armstrong,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0078740157480317],,[0.15982302021886385]
armstrong,armstrong,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0],,[0.15982302021886385]
armstrong,armstrong,armstrong,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[1.0021603445969072],,[0.3170281124846899]
armstrong,wang,wen,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.005843439911797088],,
armstrong,wang,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.1166666666666667],,
armstrong,wang,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0540540540540542],,
armstrong,wang,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0],,
armstrong,wang,wen,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[1.0441282480070642],,[0.2977253609105163]
armstrong,wen,armstrong,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.0035215917594753066],,
armstrong,wen,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.1247706422018349],,
armstrong,wen,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0562659846547315],,
armstrong,wen,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0010224948875255],,
armstrong,wen,armstrong,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[3.450190217398362],,[0.0005720660916911441]
armstrong,rozado,armstrong,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.0018913940771433935],,
armstrong,rozado,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.056474873721368],,
armstrong,rozado,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0401989711172772],,
armstrong,rozado,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.00148084687109],,
armstrong,rozado,armstrong,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[4.854268193579225],,[1.2217863742206896e-06]
armstrong,wang,wang,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.019950526995052675],,
armstrong,wang,wang,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.1074163534547186],,
armstrong,wang,wang,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0954402300424484],,
armstrong,wang,wang,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0277581348712053],,
armstrong,wang,wang,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[3.8474819422121205],,[0.00012245372016560588]
armstrong,armstrong,wen,1,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.6377551020410751],[0.26487072502985476],[0.016049074820853076]
armstrong,armstrong,wen,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.002754362806747679],,[0.016049074820853076]
armstrong,armstrong,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0326315789473683],,[0.016049074820853076]
armstrong,armstrong,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.044596912521441],,[0.016049074820853076]
armstrong,armstrong,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0087778528021607],,[0.016049074820853076]
armstrong,armstrong,wen,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[1.8144953255446865],,[0.06969707097157603]
armstrong,rozado,wen,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.002660059872840792],,
armstrong,rozado,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0429925439150765],,
armstrong,rozado,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.032537960954447],,
armstrong,rozado,wen,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0074804217107676],,
armstrong,rozado,wen,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[11.227292573696927],,[3.087443862913107e-29]
armstrong,wang,rozado,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.00379194443928621],,
armstrong,wang,rozado,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0543933054393306],,
armstrong,wang,rozado,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0543933054393306],,
armstrong,wang,rozado,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0487012987012987],,
armstrong,wang,rozado,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[6.307340325673351],,[3.2884553654008614e-10]
armstrong,wang,armstrong,1,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.014713896457765718],,
armstrong,wang,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.7499999999999998],,
armstrong,wang,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.5],,
armstrong,wang,armstrong,1,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0],,
armstrong,wang,armstrong,1,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[1.3257328690078705],,[0.20150816319106118]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.002118252894554029],,
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0525812619502868],,
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0406137184115523],,
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[0.9993734335839598],,
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[2.7642648484748262],,[0.005737815894072067]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.792499999999371],[0.21712455160078076],[0.0002622620018421726]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.003356149710799894],,[0.0002622620018421726]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.1418092909535453],,[0.0002622620018421726]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0678659035159443],,[0.0002622620018421726]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0025236593059939],,[0.0002622620018421726]
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[4.1682690861284435],,[3.150594707310967e-05]
