gender,top,top_og,selection_rate,disparate_impact_ratio,job,model,rank,name_bundle,job_bundle
M,1989,1988,0.49725,0.9890601690701144,ALL,gpt-4o-mini,1,armstrong,armstrong
W,2011,2012,0.50275,1.0,ALL,gpt-4o-mini,1,armstrong,armstrong
M,1894,1988,0.4735,0.899335232668566,ALL,gpt-4o-mini,1,armstrong,rozado
W,2106,2012,0.5265,1.0,ALL,gpt-4o-mini,1,armstrong,rozado
M,2061,1988,0.51525,1.0,ALL,gpt-4o-mini,1,armstrong,wen
W,1939,2012,0.48475,0.940805434255216,ALL,gpt-4o-mini,1,armstrong,wen
M,1955,1988,0.48875,0.9559902200488998,ALL,gpt-4o-mini,1,armstrong,wang
W,2045,2012,0.51125,1.0,ALL,gpt-4o-mini,1,armstrong,wang
M,1885,1988,0.47125,0.8912529550827423,ALL,gpt-4o-mini,1,armstrong,karvonen
W,2115,2012,0.52875,1.0,ALL,gpt-4o-mini,1,armstrong,karvonen
M,987,994,0.4935,0.9743336623889438,ALL,gpt-4o-mini,1,armstrong,zollo
W,1013,1006,0.5065,1.0,ALL,gpt-4o-mini,1,armstrong,zollo
M,1761,1988,0.44025,0.7865118356409111,ALL,gpt-4o-mini,1,armstrong,yin
W,2239,2012,0.55975,1.0,ALL,gpt-4o-mini,1,armstrong,yin
M,2075,2076,0.51875,1.0,ALL,gpt-4o-mini,1,rozado,armstrong
W,1925,1924,0.48125,0.927710843373494,ALL,gpt-4o-mini,1,rozado,armstrong
M,1903,2076,0.47575,0.9074868860276586,ALL,gpt-4o-mini,1,rozado,rozado
W,2097,1924,0.52425,1.0,ALL,gpt-4o-mini,1,rozado,rozado
M,2047,2076,0.51175,1.0,ALL,gpt-4o-mini,1,rozado,wen
W,1953,1924,0.48825,0.9540791402051783,ALL,gpt-4o-mini,1,rozado,wen
M,1919,2076,0.47975,0.9221528111484864,ALL,gpt-4o-mini,1,rozado,wang
W,2081,1924,0.52025,1.0,ALL,gpt-4o-mini,1,rozado,wang
M,1896,2075,0.474,0.9011406844106463,ALL,gpt-4o-mini,1,rozado,karvonen
W,2104,1925,0.526,1.0,ALL,gpt-4o-mini,1,rozado,karvonen
M,922,1038,0.461,0.8552875695732839,ALL,gpt-4o-mini,1,rozado,zollo
W,1078,962,0.539,1.0,ALL,gpt-4o-mini,1,rozado,zollo
M,1730,2076,0.4325,0.762114537444934,ALL,gpt-4o-mini,1,rozado,yin
W,2270,1924,0.5675,1.0,ALL,gpt-4o-mini,1,rozado,yin
M,2044,2044,0.511,1.0,ALL,gpt-4o-mini,1,wen,armstrong
W,1956,1956,0.489,0.9569471624266145,ALL,gpt-4o-mini,1,wen,armstrong
M,2042,2044,0.5105,1.0,ALL,gpt-4o-mini,1,wen,rozado
W,1958,1956,0.4895,0.9588638589618023,ALL,gpt-4o-mini,1,wen,rozado
M,2039,2044,0.50975,1.0,ALL,gpt-4o-mini,1,wen,wen
W,1961,1956,0.49025,0.9617459538989701,ALL,gpt-4o-mini,1,wen,wen
M,1971,2042,0.49275,0.9714144898965008,ALL,gpt-4o-mini,1,wen,wang
W,2029,1958,0.50725,1.0,ALL,gpt-4o-mini,1,wen,wang
M,1950,2044,0.4875,0.951219512195122,ALL,gpt-4o-mini,1,wen,karvonen
W,2050,1956,0.5125,1.0,ALL,gpt-4o-mini,1,wen,karvonen
M,976,1022,0.488,0.953125,ALL,gpt-4o-mini,1,wen,zollo
W,1024,978,0.512,1.0,ALL,gpt-4o-mini,1,wen,zollo
M,1821,2043,0.45525,0.8357044515832951,ALL,gpt-4o-mini,1,wen,yin
W,2179,1957,0.54475,1.0,ALL,gpt-4o-mini,1,wen,yin
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,armstrong
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,armstrong
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,rozado
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,rozado
M,2085,2085,0.52125,1.0,ALL,gpt-4o-mini,1,wang,wen
W,1915,1915,0.47875,0.9184652278177459,ALL,gpt-4o-mini,1,wang,wen
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,wang
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,wang
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,karvonen
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,karvonen
M,1042,1042,0.521,1.0,ALL,gpt-4o-mini,1,wang,zollo
W,958,958,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,zollo
M,2084,2084,0.521,1.0,ALL,gpt-4o-mini,1,wang,yin
W,1916,1916,0.479,0.9193857965451055,ALL,gpt-4o-mini,1,wang,yin
M,1975,1975,0.49375,0.9753086419753088,ALL,gpt-4o-mini,1,seshadri,armstrong
W,2025,2025,0.50625,1.0,ALL,gpt-4o-mini,1,seshadri,armstrong
M,1888,1976,0.472,0.8939393939393938,ALL,gpt-4o-mini,1,seshadri,rozado
W,2112,2024,0.528,1.0,ALL,gpt-4o-mini,1,seshadri,rozado
M,2008,1976,0.502,1.0,ALL,gpt-4o-mini,1,seshadri,wen
W,1992,2024,0.498,0.9920318725099602,ALL,gpt-4o-mini,1,seshadri,wen
M,1882,1984,0.4705,0.8885741265344664,ALL,gpt-4o-mini,1,seshadri,wang
W,2118,2016,0.5295,1.0,ALL,gpt-4o-mini,1,seshadri,wang
M,1805,1984,0.45125,0.8223234624145787,ALL,gpt-4o-mini,1,seshadri,karvonen
W,2195,2016,0.54875,1.0,ALL,gpt-4o-mini,1,seshadri,karvonen
M,896,990,0.448,0.8115942028985507,ALL,gpt-4o-mini,1,seshadri,zollo
W,1104,1010,0.552,1.0,ALL,gpt-4o-mini,1,seshadri,zollo
M,1711,1977,0.42775,0.7474879860200961,ALL,gpt-4o-mini,1,seshadri,yin
W,2289,2023,0.57225,1.0,ALL,gpt-4o-mini,1,seshadri,yin
M,1995,1996,0.49875,0.9950124688279303,ALL,gpt-4o-mini,1,karvonen,armstrong
W,2005,2004,0.50125,1.0,ALL,gpt-4o-mini,1,karvonen,armstrong
M,1915,1996,0.47875,0.9184652278177459,ALL,gpt-4o-mini,1,karvonen,rozado
W,2085,2004,0.52125,1.0,ALL,gpt-4o-mini,1,karvonen,rozado
M,2096,1996,0.524,1.0,ALL,gpt-4o-mini,1,karvonen,wen
W,1904,2004,0.476,0.9083969465648855,ALL,gpt-4o-mini,1,karvonen,wen
M,1914,1996,0.4785,0.9175455417066155,ALL,gpt-4o-mini,1,karvonen,wang
W,2086,2004,0.5215,1.0,ALL,gpt-4o-mini,1,karvonen,wang
M,1921,1996,0.48025,0.9240019240019239,ALL,gpt-4o-mini,1,karvonen,karvonen
W,2079,2004,0.51975,1.0,ALL,gpt-4o-mini,1,karvonen,karvonen
M,964,998,0.482,0.9305019305019304,ALL,gpt-4o-mini,1,karvonen,zollo
W,1036,1002,0.518,1.0,ALL,gpt-4o-mini,1,karvonen,zollo
M,1735,1996,0.43375,0.7660044150110376,ALL,gpt-4o-mini,1,karvonen,yin
W,2265,2004,0.56625,1.0,ALL,gpt-4o-mini,1,karvonen,yin
M,1907,1908,0.47675,0.9111323459149546,ALL,gpt-4o-mini,1,zollo,armstrong
W,2093,2092,0.52325,1.0,ALL,gpt-4o-mini,1,zollo,armstrong
M,1843,1908,0.46075,0.8544274455261938,ALL,gpt-4o-mini,1,zollo,rozado
W,2157,2092,0.53925,1.0,ALL,gpt-4o-mini,1,zollo,rozado
M,2017,1908,0.50425,1.0,ALL,gpt-4o-mini,1,zollo,wen
W,1983,2092,0.49575,0.983143282102132,ALL,gpt-4o-mini,1,zollo,wen
M,1896,1912,0.474,0.9011406844106463,ALL,gpt-4o-mini,1,zollo,wang
W,2104,2088,0.526,1.0,ALL,gpt-4o-mini,1,zollo,wang
M,1833,1908,0.45825,0.8458698661744347,ALL,gpt-4o-mini,1,zollo,karvonen
W,2167,2092,0.54175,1.0,ALL,gpt-4o-mini,1,zollo,karvonen
M,959,954,0.4795,0.9212295869356388,ALL,gpt-4o-mini,1,zollo,zollo
W,1041,1046,0.5205,1.0,ALL,gpt-4o-mini,1,zollo,zollo
M,1671,1908,0.41775,0.7174753112924002,ALL,gpt-4o-mini,1,zollo,yin
W,2329,2092,0.58225,1.0,ALL,gpt-4o-mini,1,zollo,yin
M,1907,1908,0.47675,0.9111323459149546,ALL,gpt-4o-mini,1,yin,armstrong
W,2093,2092,0.52325,1.0,ALL,gpt-4o-mini,1,yin,armstrong
M,1815,1908,0.45375,0.8306636155606407,ALL,gpt-4o-mini,1,yin,rozado
W,2185,2092,0.54625,1.0,ALL,gpt-4o-mini,1,yin,rozado
M,2019,1908,0.50475,1.0,ALL,gpt-4o-mini,1,yin,wen
W,1981,2092,0.49525,0.9811788013868251,ALL,gpt-4o-mini,1,yin,wen
M,1848,1908,0.462,0.8587360594795539,ALL,gpt-4o-mini,1,yin,wang
W,2152,2092,0.538,1.0,ALL,gpt-4o-mini,1,yin,wang
M,1841,1907,0.46025,0.8527095877721168,ALL,gpt-4o-mini,1,yin,karvonen
W,2159,2093,0.53975,1.0,ALL,gpt-4o-mini,1,yin,karvonen
M,956,954,0.478,0.9157088122605364,ALL,gpt-4o-mini,1,yin,zollo
W,1044,1046,0.522,1.0,ALL,gpt-4o-mini,1,yin,zollo
M,1666,1908,0.4165,0.7137960582690659,ALL,gpt-4o-mini,1,yin,yin
W,2334,2092,0.5835,1.0,ALL,gpt-4o-mini,1,yin,yin
M,2118,2120,0.5295,1.0,ALL,gpt-4o-mini,1,gaeb,armstrong
W,1882,1880,0.4705,0.8885741265344664,ALL,gpt-4o-mini,1,gaeb,armstrong
M,1865,2120,0.46625,0.873536299765808,ALL,gpt-4o-mini,1,gaeb,rozado
W,2135,1880,0.53375,1.0,ALL,gpt-4o-mini,1,gaeb,rozado
M,2040,2122,0.51,1.0,ALL,gpt-4o-mini,1,gaeb,wen
W,1960,1878,0.49,0.9607843137254901,ALL,gpt-4o-mini,1,gaeb,wen
M,1837,2120,0.45925,0.849283402681461,ALL,gpt-4o-mini,1,gaeb,wang
W,2163,1880,0.54075,1.0,ALL,gpt-4o-mini,1,gaeb,wang
M,1918,2120,0.4795,0.9212295869356388,ALL,gpt-4o-mini,1,gaeb,karvonen
W,2082,1880,0.5205,1.0,ALL,gpt-4o-mini,1,gaeb,karvonen
M,938,1060,0.469,0.8832391713747645,ALL,gpt-4o-mini,1,gaeb,zollo
W,1062,940,0.531,1.0,ALL,gpt-4o-mini,1,gaeb,zollo
M,1681,2120,0.42025,0.7248814144027599,ALL,gpt-4o-mini,1,gaeb,yin
W,2319,1880,0.57975,1.0,ALL,gpt-4o-mini,1,gaeb,yin
M,2077,2076,0.51925,1.0,ALL,gpt-4o-mini,1,lippens,armstrong
W,1923,1924,0.48075,0.9258545979778527,ALL,gpt-4o-mini,1,lippens,armstrong
M,2003,2076,0.50075,1.0,ALL,gpt-4o-mini,1,lippens,rozado
